IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
54.214.195.0,443,443,true,PDX,North America,US,Portland,247,9.50
18.153.166.250,2053,443,true,FRA,Europe,DE,Frankfurt,183,9.49
54.148.167.46,443,443,true,PDX,North America,US,Portland,234,9.48
52.34.98.253,443,443,true,PDX,North America,US,Portland,215,9.47
54.72.216.182,443,443,true,DUB,Europe,IE,Dublin,288,9.47
54.213.214.160,443,443,true,SEA,North America,US,Seattle,220,9.47
54.185.176.179,443,443,true,PDX,North America,US,Portland,293,9.46
54.187.240.31,443,443,true,PDX,North America,US,Portland,218,9.44
44.245.199.154,443,443,true,PDX,North America,US,Portland,400,9.44
54.203.12.189,443,443,true,PDX,North America,US,Portland,225,9.44
54.186.108.196,443,443,true,PDX,North America,US,Portland,314,9.44
52.89.97.12,443,443,true,PDX,North America,US,Portland,266,9.42
54.187.240.31,443,443,true,PDX,North America,US,Portland,325,9.41
35.86.90.184,8080,443,true,PDX,North America,US,Portland,350,9.41
52.10.230.80,443,443,true,PDX,North America,US,Portland,228,9.38
52.36.50.249,443,443,true,PDX,North America,US,Portland,252,9.38
35.93.205.132,443,443,true,PDX,North America,US,Portland,398,9.38
44.244.114.154,443,443,true,PDX,North America,US,Portland,279,9.37
47.129.153.202,443,443,true,SIN,Asia Pacific,SG,Singapore,262,9.37
52.89.100.174,443,443,true,PDX,North America,US,Portland,305,9.36
35.83.185.225,443,443,true,PDX,North America,US,Portland,228,9.36
44.227.209.152,443,443,true,PDX,North America,US,Portland,281,9.36
54.185.185.171,443,443,true,PDX,North America,US,Portland,222,9.36
54.212.12.228,443,443,true,PDX,North America,US,Portland,279,9.36
54.200.101.199,443,443,true,PDX,North America,US,Portland,481,9.34
52.36.50.249,443,443,true,PDX,North America,US,Portland,301,9.33
54.185.171.97,443,443,true,PDX,North America,US,Portland,331,9.33
54.213.239.129,443,443,true,PDX,North America,US,Portland,267,9.31
35.85.36.239,443,443,true,PDX,North America,US,Portland,355,9.31
54.191.21.99,443,443,true,PDX,North America,US,Portland,274,9.31
34.219.192.43,443,443,true,PDX,North America,US,Portland,228,9.31
52.39.161.212,443,443,true,PDX,North America,US,Portland,399,9.31
34.219.221.16,443,443,true,SEA,North America,US,Seattle,332,9.30
52.10.37.167,443,443,true,PDX,North America,US,Portland,387,9.30
35.165.75.246,443,443,true,SEA,North America,US,Seattle,288,9.29
34.220.141.227,443,443,true,SEA,North America,US,Seattle,234,9.29
44.227.78.80,443,443,true,SEA,North America,US,Seattle,265,9.29
51.44.174.199,443,443,true,AMS,Europe,NL,Amsterdam,274,9.29
52.32.188.199,443,443,true,PDX,North America,US,Portland,403,9.27
52.89.100.174,443,443,true,PDX,North America,US,Portland,300,9.27
34.215.169.157,443,443,true,SEA,North America,US,Seattle,318,9.27
